834526,385642,210145,0,999.22
802490,270084,100370,0,1257.75
1040327,256285,90370,0,1671.64
1096583,254298,89758,0,1740.58
1170934,258986,94402,0,1788.02
2454101,481724,253736,0,3950.62
2409654,529777,328535,0,3776.69
1353532,355220,200066,0,2143.25
995191,285260,149544,0,1653.3
1244886,283641,172936,0,2098.74
1232949,285568,285567,0,2151.4
1080863,296280,0,168152,2088.25
1710659,526793,0,295533,3951.71
1963244,569042,0,323468,3967.22
1284273,387956,0,216431,2478.34
958502,311286,0,168255,1902.2
907381,317411,0,170050,1909.86
876170,323192,0,172236,1853.36
905859,335661,0,178881,1914.25
1858305,616134,0,339983,4314.78
2239183,660927,0,373004,4206.73
1259670,448421,0,239070,2484.1
1034629,360333,0,186391,1804.21
1134291,368598,0,196260,1724.09
895625,353214,0,182189,1658.86
914027,362089,0,182187,1731.06
1927224,653802,0,336298,4102.67
2013945,698777,0,356456,4316.81
1197327,474243,0,233647,2319.07
912121,373262,0,181162,1684.74
900137,385014,0,185688,1797.78
739361,413542,0,156008,1631.82
922345,439438,0,187251,1877
2106553,730632,0,385208,3991.4
2383659,827076,0,433595,4524.64
1600893,609220,0,308608,2949.04
1380085,511793,0,257712,2569.15
1487128,547211,0,273768,2813.45
1356551,547529,0,254826,2506.57
1457286,561418,0,270028,2574.82
2412491,834549,65533,432434,4674.25
2883945,947111,0,488974,5119.17
1966493,716114,0,356777,3543.45
1595130,619079,0,304917,2773.8
1586916,648108,0,298914,2668.04
1692718,682786,0,295437,2817.39
1935383,899271,0,312469,3134.14
2956500,1346818,0,439797,4565.23
3849801,1528517,0,529232,5467.16
4103811,1539862,0,544187,5956.87
4273492,1536682,0,575109,5971.34
3277892,1580707,0,531762,3788.52
4300246,1626763,0,621225,5674.17
4106328,1580882,0,608334,5425.34
4193249,1615767,0,620044,5349.15
4190198,1684016,0,637724,5575.64
4436937,1765245,0,670909,5631.49
4881239,1869471,0,721490,5917.65
5150212,1943120,0,762698,6421.94
5562397,1977907,0,752646,6330.1
5036015,2000150,0,736903,5945.39
5162667,1925763,0,739397,5922.87
3604369,1638154,0,516310,4114.35
4397652,1719900,0,661646,5279.4
4166055,1579283,0,632285,5253.03
4038022,1502043,0,595475,5221.58
4064713,1433435,0,577935,5125.57
3677638,1402334,0,554294,4939.17
3575510,1350663,0,532356,4676.32
3415314,1335280,0,528824,4626.07
3551158,1319630,0,542141,5059.43
3627673,1303444,0,549030,5059.79
3697302,1313153,0,526791,5336.43
3264163,1288706,0,468041,4986.18
2718985,896661,0,430961,4572.61
2449085,601364,0,394565,3979.88
2268248,571573,0,373603,3804.13
2033377,492682,0,336138,3568.8
2175832,491407,0,343327,4204.3
1965785,451567,0,314067,4216.23
1706395,401145,0,278583,3708.78
1495554,364663,0,252174,2906.61
2129518,481079,0,336094,4123.86
2307432,509851,0,358596,4284.49
1593478,390176,0,271916,2738.97
1307729,330196,0,230036,2035.77
1197144,317987,0,218470,1757.93
1244123,322230,0,221053,2010.7
2177471,504183,0,350058,3603.09
2621990,592347,0,415039,3919.36
