impressions,user_dau,new_user,total_init,ad_income
785892,180107,32868,86765,1141.79
1052031,250885,60384,115813,1540.9
2107560,421027,134678,195267,3829.81
2079424,399294,115378,185400,3493.82
1041021,213152,45953,102266,1602.05
934240,212487,45723,100459,1550.85
960588,212843,46324,97629,1323.85
1044362,213604,47500,104609,1489.51
1325546,277643,68028,135772,1810.57
2350478,427566,132286,204400,3411.86
2311720,396327,110105,188270,3229.71
1107830,202425,39796,100566,1561.76
1062368,195844,36717,97857,1518.94
1027817,193833,37580,97833,1375.52
1019934,192301,38197,96591,1335.13
1274285,246574,57353,122125,1624.39
2243001,401337,122533,193668,3384.16
2216945,384787,108235,184953,3432.3
1144779,203564,39595,102872,1563.65
1128808,202276,39193,103637,1534.04
1122766,202618,40443,104167,1475.94
1050378,218456,52798,105380,1356.41
1335756,302599,85860,128504,1653.51
2415780,529707,171213,204166,3097.08
2384216,518354,149765,195556,1645.23
